"Name","Review Content","Date","Rating","Mercure Hotel"
"Great hotel, roof bar, helpful staff","Stayed at Avani last minute after I had a flight change. What a treat! The rooftop bar is gorgeous and Rosie and Rejoice were incredibly helpful - printing documents for me, arranging a COVID PCR test at the hotel, etc. Great location as well. Will def return!","Date of stay: July 2022This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Home away from home","I recently stayed at a hotel that truly felt like my home away from home. The warm ambiance and attentive staff created an inviting atmosphere that made me feel comfortable and relaxed. From the cozy decor to the thoughtful amenities, every detail contributed to a sense of belonging. I left feeling rejuvenated, grateful for the experience, and eager to return to this lovely sanctuary in the future.","Date of stay: September 2024This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Nice hote","Used this hotel on the first and last day of our 32 day trip through Namibia, Zambia, Zimbabwe and Botswana.Very warm welcome, very helpful with luggage. Centrally located.Nice rooms with good sleep comfort, ok breakfast.Beautiful views and sunset from the Stratos bar on the top floorParking available in nearby parking building.","Date of stay: October 2020This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Avani Hotel"
"Very comfortable clean and well maintained.","Thanks you Rudi and Team. I had a very comfortable stay, have absolutely no complaints, just compliments to all the staff in the restaurants, conferencing facilities and the banqueting area. I used just about all the services and all were an absolute pleasure.Keep up the great work and I’ll be back on my next trip to Namibia","Date of stay: August 2023This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Great Service & Ambience","After a busy day attending a work conference; Avani's Pantry is the perfect place to unwind. Great service by  Asnath and Immanuel. Service was timely and friendly. The light snacks deliciously made with fresh ingredients.  The  bar stocks a variety of refreshments both alcoholic and non alcoholic. The views through the window are refreshing and keeps you engaged. A  lone visit to the Pantry is not a drag.","Date of stay: February 2024This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Avani Hotel"
"Incredible","This was absol Italy beautiful experience. The views were breathtaking on the rooftop bar. The provided heat lamps blankets and service with the warmest energy.  Shanice and shaheed took amazing care of us. They are absolutely wonderful!","Date of stay: July 2024This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Rolla's experience of Avani Hotel","This was an awesome experience to be stayed a week at the Hotel.  It was a great experience, I would recommend the Hotell and always come back for the fresh food when ever I visit the capital city. I would love to make it my home .","Date of stay: February 2020This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Avani Hotel"
"Thanks Samoline...","Whenever I land in Windhoek, I get back home at Avani.Service is excellent and as you get to have clients to hang around, you always can count on Samoline and her team to make you feel at home.I have been privileged to give a name to a non-alcoholic cocktail.Do not waste time reading this... Just go there and experience kindness and great time!!!","Date of stay: September 2022This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Great services","I enjoyed my stay with avani because the reception staff are soo welcoming and they make you feel at home and give all the information you require during your stay. The rooms are spacious and soo clean. Perfect lighting. The provision of the bathtub and shower are such good diversity. Highly recommended.","Date of stay: June 2023This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Reception at Windhoek Avani","My stay was fantastic with friendly staff always offering to assist.A variety of dishes to choose from. I met a staff member Freeman who could even call me by name further cementing good interpersonal relations in a professional manner. I can recommend Avani to friends","Date of stay: July 2023This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Avani Hotel"
"Superb and magnificent.","Since we have arrived here, I wanna send out to all the avani stuff for their great hospitality but mainly  the guy who goes by the name Engelhard for such great hospitality, sense of humor , He indeed make sure that your enjoy your Avani. Always checks on you whenever he bumps. Shout out to Mr Engelhard and the Avani stuff","Date of stay: March 2023This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Jeremy the great waiter","Jeremy gave us the best service, from recommendations to the overall conversation.My best friend and I had the most amazing time.Looking forward to the next experience . We ended up order absolutely everything he recommended and it turned out amazing. Great taste in both food and drinks and is very attentive to all our needs.","Date of stay: April 2024This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Mr","It was a great and memorable moment at Avani provided that I had the most warm welcome 🙏🏿 and indeed a fair treatment during my stay (service provided), this has indeed proven the competency of staffs hired. I am glad I visited Avani and Returning here will definitely be the first priority. Kavee thanks","Date of stay: April 2022This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Very Good","The Avani Windhoek Hotel is in the centre of Windhoek, within short walking distance of Christuskirche and the Independence Memorial Museum. Large, comfortable, standard hotel room. The skybar was great for a drink, with fantastic views of Windhoek. The breakfast was stunning, with everything that you could possibly think of.","Date of stay: February 2024This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Avani Hotel"
"Good times in Windhoek","Had a great time in Stratos. The sunset is something that you need to put on the list. The staff was very accommodating, especially Shanice, who helped us out and made our experience so much better. The rooms were good size and the food was decent.","Date of stay: August 2024This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Warm welcome","Arrived with my team on Thursday evening at Avani hotel Windhoek. After check in we went straight to the rooftop (Stratos Restaurant). Justina welcomed and assisted us,great customer service,patient,attentive and very professional lady.  We also had great cocktails, apart from the warm welcoming,the rooftop is beautiful, good food and the view is amazing 🤩…i can’t wait for my next trip to Avani Windhoek Namibia","Date of stay: October 2022This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Awsmz😎","Service with Shahid was wonderful. Very much attentive to your needs and the little side jokes were cute. Very nice. A definite come back! Shahid is a keeper. The hakuna matata was the perfect wine down to the busy week. Sadly didn’t have anything to eat, but will definitely do so at the visit.","Date of stay: May 2024This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Stratos","The best highlight of my stay in Avani was the experience at the Stratos restaurant. The service I got from Shanice was exceptional. She gave us good service and was patient with us. We asked to be moved around due to weather conditions and she went beyond the call of duty to make our time  special.","Date of stay: June 2023This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Food was delicious, mostly the Honey Chicken Wigs, Pork Ribs and Chicken Pizza. Friendly Teams and well groomed seniors.","Customer Service at Avani The Pantry Restaurant is kept and delivered at heart. Drinks and food were delivered on time by our incredible, friendly waiter Rosali. Rosali stood out for us and really took good care of us. While where taken care of by Rosali, restaurant manager Mr. Mario came at our table just to confirm of whether we're enjoying every moment. It was heartwarming welcome and to service. We will surely come back.","Date of stay: August 2024This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Stratos","I've always seen this place from far so today i decided to come with my friend. The view is spectacular. I can't even begin to explain the feeling i got as soon as i stepped in. The hostess is so beautiful and funny mahn, i cant remember the last time i laughed this much. The beer was nice and cold. It feels like you're on a plane in the sky..","Date of stay: January 2023This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"The view and the waiter all together was more than what was expected!","The service was on point as the waiter did not let us wait a second! I’ll definitely recommend the roof top to friends and family! The sunset was absolutely amazing and the company was made by the beautiful atmosphere surrounded by our atmosphere.","Date of stay: January 2024This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Friendly, home away from home experience.","I am very impressed with the personalised service of the staff, especially Christiana. She assisted me with a personal matter and acted professional all the time. The food are great too.  I recommend Avani  for a “home away from home” - experience.","Date of stay: May 2024This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Enjoyed the stay at Avani Windhoek","Avani Windhoek is the place to stay in Windhoek. Great hospitality and friendly staff. Staff always willing to go the extra mile. I had a great experience during my stay. The food was of great quality.","Date of stay: May 2023This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Avani Hotel"
"Coffee Date","I enjoyed the environment. Very chill vibe. Good for conversations while still giving you a glimpse of night life on Windhoek. It’s not a rowdy crowd. Shoutout to David the supervisor who came to check on the service. He ensured the dinner went well.","Date of stay: January 2023This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Avani Hotel"
"Avani hotel - Namibia ","Avani is a top notch hotel. The staffs are so warm and calm, especially Tia , Chuma and Rosalia. The rooms are well kept, the stratos is a sight to behold in the evenings. I particularly enjoy the blend of Ampiano and RnB playlist.","Date of stay: October 2022This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Restaurant rooftop- worst service","Restaurant review:The food is fine, but don’t go there and expect to get any service. They let me and my friend wait over 𝐓𝐖𝐎 𝐇𝐎𝐔𝐑𝐒 for our food. And we were stupid enough to come back (because my friend lives just across the street and there is nothing else around here). This time they told us 10minutes and we waited an hour again!! So disrespectful to people’s time.It’s the worst service and they waiters couldn’t care less. The worst part is they didn’t even give us a discount or a proper excuse. Even the door man looked like he didn’t care about anything in the whole world. Worst experience while visiting windhoek.","Date of stay: April 2024This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","1.0 of 5 bubbles","Avani Hotel"
"Mrs","Proper staying at Avani Windhoek Hotel and Casino . friendly staff Rejoice/Kavee. Room was well clean,super breakfast at dunes restaurant I don't remember the guy who helped me there.good service and enjoy my stay.","Date of stay: April 2022This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Good service of Avani Hotel","Rooms were so cleanFood is very niceStaff is friendly esp Johannes that served me diring my meals. Thank you to Fransina and Rosalia for the friendly service. My stay was worthwhile.Keep up with the good work","Date of stay: January 2023This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Avani Hotel"
"Concierge ","This place have a very excellent service, the receptionist they very  friendly and help you very fast and easy. I recommend this Hotel! The safety at this place is very good. The receptionist like Tia, Fransina and Layla you guys are very good keep up your good work. Thank you very much keep it and shine!","Date of stay: August 2023This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Thanks Jacqueline and Kylie","I don't write reviews but I would be doing a disservice if I didn't. We stayed 12 days at Avani, it was amazing. The part that made our trip memorable was the love, care and attention we received from Kylie and Jacqueline at the pantry. We made friends for a lifetime and because of their character and their hospitality we will be back to visit Avani. There aren't any words that would be good enough to describe how amazing they are. I will recommend my friends and family to visit Avani because it was more than just a place to stay. Jacqueline and Kylie made us feel at home. They took such great strides to take care of us and other guest. They also educated us on the community and the culture. They have su h beautiful hearts . I can go on and on but I  must and say I will truly miss hanging out at the pantry with them. From RIP n Jackie","Date of stay: September 2023This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Amazing view","We came to avani Stratos restaurant and we were assisted by a very bubbly Justina. Her service was what I'd describe as top tier. The beautiful weather really complimented the amazing view and we just had a whole lot of fun. Thank you Avani windhoek for having us 😊","Date of stay: January 2023This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"The best place to be when in Windhoek","The hotel is equipped with super Morden facilities. Everything is functional and is correctly placed for a pleasant stay. The view from the 15th floor is priceless! The staff is well trained and very helpful. There is room for improvement and I can assist in that regard as an Organisational Developer.","Date of stay: December 2021This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Exquisite!","Excellent services from the reception to the dinning dunes , not forgetting the roof top restaurant! Enjoyed the pool as well rather cool during the hot weather! The staff are kind and on point at all times, room service is 24hrs-loved it. Will definitely visit again soon .","Date of stay: January 2024This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Thanks Layla! Thanks Avani.","I always have a good time at Avani hotel. I haven’t had any problems with the hotel. My room is always clean and neat. Their facilities are great and luxurious. I was greeted by a very Friendly Face, Layla. She also explained the GHA to me. I am truly impressed. Thanks to Manfred and Rejoice as well. The staff is very accommodating.","Date of stay: July 2023This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Stratos","Shanice  was so welcoming and funny. Superb service from Keanu as well. Love the lamb shank ,the meat fell off the bone. Thumbs up to the kitchen. Can’t wait to come back again, hopefully this time with my family. It’s definitely a must stop when you’re in town.","Date of stay: November 2023This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Avani Hotel"
"Fine but boring hotel","Great location, all you could want in room and service but nothing special. Lovely view from rooftop bar, but useless place for a pool. Good breakfast but room dark and gloomy. Chose to stay at above 6th level or so for city view.","Date of stay: April 2023This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Avani Hotel"
"Mr. Shiimi","My stay was awesome and wonderful., I will definitely come back again. Rosy is a pro when coming to her profession and again that smile and friendliness say it all. The room was clean and always being refresh. Keep up the good work Avani hotel.","Date of stay: October 2022This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Sundowners","Shahid Abraham’s who was our service staff was great! Very helpful service and staff. Was very looked after and the atmosphere was wonderful. The view was stunning .Definitely a great time and will come back a lot. The food looks and tastes amazing","Date of stay: January 2024This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Shanice","It’s a very wonderful place! They have a nice pool as well.. the hostess Shanice was very friendly and helpful. They have really delicious food especially the kapana…. It’s a must stop place when you’re in Namibia,Windhoek. Will definitely come back again..","Date of stay: August 2024This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Wonderful experience with great staff and service at the Avani","I am in the middle of a 2+ week stay in Windhoek at the Avani Hotel. I appreciate so many of the staff members. Layla at the registration desk is great and always helpful. Ziggy greets me by name at the Dunes. Michelle and Zoe are great there. Raynard is great at the 15th floor pool deck bar/restaurant. It is a perfect stay in every way. My room is always kept beautifully clean.","Date of stay: July 2024This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Great stay","I love staying at Avani hotel, i love the views, the staff and the food. They have three amazing restaurants, whith great food and amazing rooms. Comfort at its finest. Thank you Layla for a very informative conversation about GHA and the hotel. Thanks Tia, manfred and rejoice for a friendly fairwell. Front office has amazing staff!!!","Date of stay: August 2023This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Mr Silas","The check in process was excellent and fast by Rosalia, best receptionist. Always on point and up to standard. Gym well maintain and open 24hours. Good food and well prepared and delicious, best in town","Date of stay: November 2022This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Fabulous experience!!","Our time and experience here was my favorite in Windhoek.  Miguel,our server, was the best server I’ve had in Namibia and he went above and beyond to take care of our group. I had the filet and risotto which was top notch! View and atmosphere was superb! I will definitely be back to share with others.","Date of stay: October 2024This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Stratos","The service at Stratos was fantastic,I enjoyed it so much. Especially the lady with the blonde made us laugh so hard, I don’t remember the last time I’ve been out and all the problems of the world disappeared. We had the salmon and oxtail. It was so delicious. We will definitely come back to the rooftop. PS the hostess deserves a bonus!","Date of stay: January 2023This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Was a great Experience","I love staying at avani windhoek hotel. It is right in the city, everything is quick and accessible. Always receive a warm welcome front the front desk. A special thanks to Layla, Kavee and Manfred for making my stay wonderful. Impeccable hospitality!","Date of stay: September 2023This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Avani Hotel"
"Rooftop bar","Had an amazing meal at stratos bar at avani hotel Windhoek. Justina made it so much more memorable with her positive energy and excellent service. Will definitely come back to this restaurant on my next visit. From mid blue😉","Date of stay: September 2022This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Great experience ","First time visiting the Stratos restaurant. My friends and I really enjoyed the great experience, amazing atmosphere and view overseeing the city, it was great. Was assisted by Samoline and Justina. Thank you for the experience 😇","Date of stay: June 2023This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
"Shanice","The best service ever in town! Everything was perfect from the moment that we ,shanice was very helpful and so was Raynold... They made great recommendations....Will definitely come back for their services..................Its a must stop place","Date of stay: August 2024This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Avani Hotel"
