"Name","Review Content","Date","Rating","Hilton Hotel"
"Sehr luxuriöses und schönes Hotel","Die Zimmer sind luxuriös und sehr geschmackvoll gestaltet. Man fühlt sich richtig wohl. Die Restaurants bieten sehr gutes Essen, vom Frühstück bis zum Abendessen. Das Personal ist äußerst freundlich und hilfsbereit. Insofern konnten wir auch früh einchecken.","Date of stay: February 2018This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"Nice kickoff to trip around Namibia","I spent 2 nights here before joining a 12-day safari all around the country.  It was a very comfortable, quiet couple of days.  A couple of notes:1) as others have said, the bedroom/bath are somewhat open to each other, so be aware.  Not a problem for those traveling solo, but....2) the premium lounge was very nice, and the rooftop bar and pool provided a lovely place to lounge away the afternoon3) I had a very nice massage--not the best message I've ever had in my life, but definitely the best $30 1-hour massage I've ever had (thanks to the favorable US-Namibian Rand currency exchange)!!4) as a single female, the desk and bell staff were quite concerned about me walking around the city by myself.  I arrived early-afternoon on a Saturday, and wanted to go out somewhere to experience the city, and received several warnings about how to stay safe and where not to go.  I should note that I felt perfectly safe the whole time, but appreciated the warnings.All in all, it was a very nice stay, and i would stay there again for certain!","Date of stay: June 2017This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Hilton Hotel"
"5 Sterne ist nur die Einrichtung und der Preis","Das Hotel ist zentral gelegen im Stadtzentrum, der historische Teil von Windhoek ist gut zu Fuss erreichbar. Design und Ausstattung des Hotel ist modern und hat alles von (kleinem) Swimmingpool auf dem Dach ""mitten' neben der Bar, bis hin zum Fitnessraum, usw. Die Zimmer sind sauber und modern im üblichen Hilton Standard. Das Hotel ist relativ neu und das meiste funktioniert (noch). Der Schwachpunkt des Hotels ist der Standard des Personal. Sei es an der Rezeption, beim Concierge, im Speisesaal, in der Executive Lounge, an der Bar usw: meistens inkompetent, unzuverlässig, unwillig und zuweilen auch unfreundlich. Nach 4 Tagen konnte ich immerhin jeweils eine Person je Abteilung/Fundktion identifizieren, welche hilfsbereit war und versuchte zu helfen. Die Liste aller negativen Erfahrungen wäre schlicht zu lang, ich gebe daher nur eine allgemeine Würdigung der Erlebnisse mit dem Personal.Insgesamt ist die Service Qualität Meilen entfernt von Hilton Standard, geschweige von 5 Sterne Qualität.","Date of stay: October 2016This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","2.0 of 5 bubbles","Hilton Hotel"
"Hhm, not convinced... ","I booked here as a treat to myself after nights of touring and camping, but I'm not convinced it was a good choice. Room nice, but no robe or slippers. Really wanted to get comfy and pad around in slippers! My main problem was with the Sky Bar/Pool area. I had to find my own towel, nobody takes care in welcoming guests to the area and in four hours I was never shown a menu or offered a drink. On going up to the bar myself, it took 5 minutes to even be acknowledged, staff too busy serving ice buckets of champagne to others. Other members of staff just simply kept walking past me. I would put it down to the staff not being in control of the area. Men at a table next to me brought their own laptop and pumped out their own rap music (also kept cutting off songs midway and changing tracks). Resulted in me moving away with a thumping headache. The bar should have control by providing chill out background tunes thereby dictating the vibe. It shouldn't be an area for wannabe gangsta rap djs! No class. In the evening, I went back up to enjoy outdoor dining under the stars. I ordered a pizza but 10 mins later, waitress had to double check which pizza as she'd forgotten. Again no real service. With no waitress walking around, I had to order at the bar which resulted in someone taking my table when I stood up! Upon asking for Tabasco or Mayonnaise, I was brought mustard and told there wasn't anything else. I'd like to draw a parallel with the Shangri-la Dubai. They also have a pool/bar area which changes into a bar/club at night. The difference is that the vibe is created by the setting and the clientele respond to it. Not the other way round.","Date of stay: April 2016This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","2.0 of 5 bubbles","Hilton Hotel"
"A very good hotel","I spent four nights here and the service was excellent.  The location downtown is great for business travellers.  Staff went out of their way to help me get transport and find places I needed to visit.  Room very comfortable","Date of stay: June 2015This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"New but poorly functioning","Here just 12 hours as part of a tour of southern Africa.  This is a modern appearing facility that didn't just run right and/or wasn't laid out properly.  Key card system in elevators didn't work, wouldn't stop as programmed; shower and bathroom doors didn't shut properly, hot and cold faucets in rooms mislabeled, towel bars on sinks had protruding handles that caught whatever you were wearing; long wait to check in while manager stared at the overworked receptionist and obviously could not be bothered to lend a hand, etc, etc.  This was a study in how NOT to manage a hotel!  The bright spot was breakfast-lovely house muffins and a full assortment of goodies; smiling staff.","Date of stay: June 2014This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Hilton Hotel"
"Le top à windhoek","Depuis plusieurs années que je vais en Namibie, je fais toujours une halte à mon arrivée et au retour, l'accueil est très bien, un personnel souriant, de grande chambre, les petits déjeuners copieux et un tour sur la terrasse s'impose, une vue panoramique à couper le souffle. Encore plus sympa quand la nuit est tombée. Les prix sont raisonnable pour cet endroit.","Date of stay: October 2013This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"Service ist eine Katastrophe","Eine imposante ""Erscheinung"", eine traumhafte Terrasse im 9. Stock, eine Super Ausstattung innen. Wir wollten nur ein kleines Mittagessen mit Aussicht genießen. Die Burger mit Pommes kamen auf Anfrage nach 50 Minuten, waren eiskalt, so als ob das Fleisch nicht ganz aufgetaut worden wäre. Auf die Beschwerde nahm man die Burger mit zum Aufwärmen. Ergebnis war nur geringfügig besser, alles in allem ungenießbar. Und das zu dem doppelten Preis von anderen Lokalitäten. Für ein Hilton absolut unwürdig.","Date of stay: October 2012This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Hilton Hotel"
"Standard Hilton without Great Service","This was a standard Hilton property. Decent rooms, modern, rooftop pool and good value for money. With gold status we enjoyed a great included breakfast along with wine and snacks in the concierge lounge (which was actually just a side-room off from the restaurant).Neighborhood is safe for walking around. There is nothing to see/do, but there are some stores if you need them.Service was sometimes slow - check-in and checkout was too slow, as was the service in the concierge lounge.","Date of stay: May 2021This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Hilton Hotel"
"Alojamento muito bom","O serviço no Ekipa - restaurante - é terrível. Para um 5 estrelas tem uma equipa indolente e nada atenta. A comida podia e devia ser muito melhor. O resto dos serviços até estão de acordo com as estrelas.","Date of stay: November 2019This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Hilton Hotel"
"Horrible experience at Hilton Windhoek Namibia","Horrible Experience at Hilton Honors Windhoek. Nothing extra which one expects at 5 star hotels. Kettle instead of Coffee maker. No rusk/biscuits. No minibar stocked. Poor amenities.Park your own car and pay for parking. No robes/slippers/flower/welcome drink nothing extra. No turn down service. No Pillow offerings.. Pool bar deck music so loud you cannot conduct a conversation or enjoy the sunset. Poorest 5star hotel experience ever.","Date of stay: June 2019This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","1.0 of 5 bubbles","Hilton Hotel"
"I was quite pleased","The room was clean and is well laid out and illuminated.  The desk/laptop arrangement worked well.  I did not like the bathroom vis a vis its relationship to the room -- it is in effect, a part of the room; no door separating it from the room.  Lots of frosted glass.  All very modern, boutique-ie.  Not my taste.  But it works just fine, except that the toilet mini-room is under-lit and the sink is very slow to yield hot water.  The shower gets HOT fast.  Iron and board in the room.The selection of TV channels was so poor that I never watched it.The internet was easy to log into and after an initial interruption when I checked in, worked fine all week, but very slow on Sunday.  However, the desk chair was far too low, and uncomfortable to boot.Laundering a man's shirt, undies, and sox costs N$110/US$8.00, a bargain.The breakfast buffet was good; the coffee was hot, served from a thermos carried by staff.  They were not always there when you wanted them.  There is a wonderful fresh-fruit juice bar.Staff friendly, service-oriented.In the midst of a vibrant neighborhood.","Date of stay: February 2019This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"Internet speed here is HOPELESS!!","Internet speed here is HOPELESS!!Cost for more powerful modems is tiny. Stayed here 3 times over 14 days. EACH time internet was terrible speed. Each time this was reported to desk staff who of course all promised it would be fixed immediately. This is Africa – nothing changed.  BAD. We spend many hours on internet each day in Hotels. Reported this to a Duty Manager. Nothing occurred for me via the Hilton ”Make It Right” program.  No surprise.  This is Africa.Arrived late afternoon and even then room not ready.  Took 2 hours to get room key.  When we got to room, the Hilton internet did not recognise were were guests. This meant we need to phone someone. Room phones are a joke. Nothing works. 10 department buttons and only ONE works - just front desk line - which may or may not be busy. Phone in room 807 said on it, this was room 614.  LAZY. 2 of the 3 Elevators were not working when we made our first stay. This is Africa.I am a high level Elite at Hilton, so rooms we got were nice.  In fact overall Hotel good.  Nice breakfast.  Average Executive Lounge at Hilton Windhoek.  We were there for New Years Eve, and no wine of any kind.  Desk person claimed all the wine was all taken for NYE party in Skybar. (Wine in Namibia costs about $US1 a bottle wholesale.)  After a few guests complained she reluctantly went out and found 1 bottle red, 1 bottle white. Both bottles were empty in 5 minutes, and were never replaced.  APPALLING for a Hilton alleged ‘’Executive Lounge.’’  This is Africa.FIX THE APPALLING INTERNET SPEED.  We had FAR faster speed in remote bush tent camps in Etosha and Soussavlei, and even in a humble guest house in Swakopmund – even coffee shop Internet everywhere was much faster than Hilton Windhoek and that is DISGRACEFUL for any Hilton.  This is Africa.BEFORE you book, email them and ask if the Internet now works.  Maybe if they get 100 such emails the General Manger might get organised to FIX this simple issue.","Date of stay: January 2019This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Hilton Hotel"
"Beautifull Hilton with excellent service","As Hilton Honors member we have stayed in this hotel for the very first time. Check in was very -rofessional and we were offered an u-grade. Room was spotless clean, with all necessary amenities. Very nice terrace, breakfastroom and Sky bar with swimmingpool on the roof. Most friendly and efficient staffmembers which made our stay perfect. Executive lounge was perfect. We had a great stay and can recommend this hotel during a stay in Windhoek.","Date of stay: September 2018This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Hilton Hotel"
"Best Hotel in Windhoek ","This hotel is without any doubt no 1 in Windhoek .Well trained staff , new facilities , nice rooms , good restaurant and centrally located . It has all amenities including a roof top pool .Yes it’s a larger hotel , but still friendly .","Date of stay: August 2018This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Hilton Hotel"
"Perfectly comfortable chain experience","The Hilton Windhoek is very centrally located, with large-ish rooms, restaurants on site, a sky bar and an attached casino.  It serves its purpose very well - there is not a whole lot to do in Windhoek so it is more of a waypoint to the more interesting parts of Namibia - being very comfortable and familiar.  The Sky Bar seemed like a popular after work spot, with a great view of the city and outdoor pool.  On the night we stayed, there was a band performing in one of the restaurants (a local band that drew local residents - not a cheesy experience directly solely at tourists).  In short, there is enough there to keep you busy and comfortable for a short stay, particularly after a stay in the desert or other remote parts of Namibia.","Date of stay: February 2018This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"Decent and enjoyable","Nice Hilton property that's worth carrying its brand. The decors are nice of all restaurants, rooms and other aminities. Spa offers great treatments, rooftop pool is small, but nice and the sushi restaurant is devine as its name suggests. Do book this hotel to unwind after your 2000, 3000, 4000 or 5000+ km of driving through Namibia before flying back home.","Date of stay: October 2017This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"TLC Required","Nice facility but we spot a training or service quality shortfall. For this Rated hotel one expect;1. Aprons and slip-on as well as wash cloth. We travelled light to join a camping group. Thought 2 nights in Hilton will make up for the camping adventure that lies ahead!2. Attention to detail such as the toilet paper. It seems a used roll was provided, just a simple fold will tell you its been attended to.3. Soap or shower cleaner spots...in blue... on the shower head give impression the cleaner did not get to the obvious spots... so what then about the not so obvious dirt.4. Toilet door does not close properly and about one cm of space between entrance door to floor. This clearly leaves a sounds problem into and from the room...privacy?5. Hanging space for wet towels...we want to save water so would like to dry towels for re-use...need a towel rail.6. No welcoming drink, sweet on pillow, flower, fruit or ice + water carafe in fridge...Namibia can be extremely hot. Any or all of the above can be achieved with just a bit of initiative...and TLC. Thank you","Date of stay: July 2017This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Hilton Hotel"
"Not brilliant but the best choice in Windhoek","The rooms are OK but ours were not particularly clean and the air con seemed to be regulated centrally and the rooms were far too warm. WLAN is only free of charge in public areas and you get access codes at the reception.   Food in the restaurant was OK but the Pizzas tasted the best.  Breakfast was Ok but service slow.  Nice sports bar and good beer but be prepared to get propositioned by the numerous prostitutes who sit there every evening.  As all areas of the hotel entrance  and the bar are monitored by big and numerous  video cameras I presume the prostitutes are tolerated by Hilton management.  There is an African street market just beside the hotel and prices there some 20% below the craft centre but the products are identical and you support local families by purchasing souvernirs at the street market.","Date of stay: June 2017This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Hilton Hotel"
"Recomendado","Otimo hotel, localizado numa das mais importantes avenidas de Windhoek.O hotel é luxuoso, café da manhã excelente, possui estacionamento no subsolo para os hóspedes.O quarto é muito bom e confortável.Ótimo para turismo e negócios.","Date of stay: March 2017This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Hilton Hotel"
"Stay at Hilton in Windhoek","My partner and I stayed at the Hilton on 9/10 December 2016.  The only dissapointment we had were the quality of the towels.  They were well worn and abrasive,  more like befitting a 1star hotel rather than a 5star hotel.  To the management please sort out the quality of your towels.","Date of stay: December 2016This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","2.0 of 5 bubbles","Hilton Hotel"
"Schlechtester Aufenthalt in Namibia","Auf ein Pre-Booked Zimmer 4 Stunden warten zu müssen ist sogar für Afrika zu lange. Nach 2 Stunden wurden wir in die Lounge geschickt um nicht in der Lobby zu stehen. Leider gab es dort nicht mal was zu trinken. 2 Stunden später sind wir nochmal runter, dann war das Zimmer fertig. Also hat man uns auch noch vergessen. Das ist für ein Hotel was 5Sterne beansprucht schon etwas schwach. ""We are sorry"" war alles... anscheinend kommt das öfter vor, da neben uns noch 2 weitere Paare in die Sitzecke( Lounge) zum Warten geschickt wurden. Auch am Abreisetag wo wir am Pool warteten sind ein paar Gruppen da rein.Bei der Abreise würde uns dann noch eine Internetgebühr für das W-LAN berechnet, das uns am Anreisetag zusätzlich zum Lobby WLAN explizit als Kostenlos angeboten wurde.Eine riesen Blamage für Hilton!Ansonsten ist das Hotel Ok. Zimmer und öffentliche Bereiche etwas abgenutzt was aber für Afrika noch ok ist. Frühstück ist das Beste an dem Haus. Passt zu 5Sterne.Sky Bar ist sehr schön. Leider öffentlich zugänglich daher zum Sonnenuntergang voll.Für Geschäftsreisen OK, alles Andere ein No-Go!","Date of stay: October 2016This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","1.0 of 5 bubbles","Hilton Hotel"
