"Name","Review Content","Date","Rating","Mercure Hotel"
"Old Prison?","We spend one night in this hotel, as we booked via a tour operator we probably got a budget room that reminded us of a military or prison complex. Worked for the night, but not something we would have wanted to stay longer. The hotel facilities were very good though, the restaurant and bar up to standard. I think maybe the rooms in the main building will have a better feel, we were in the last building away in ""the barracks"". Water was warm, room clean and we slept well.","Date of stay: July 2012This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Mercure Hotel"
"Like walking into a 1950's rec room","The one good thing about this hotel that it is walking distance to the airport and you pass right by a car hire; important since the counters at the airport never seem to be open.  However, the hotel is old and tired.  It is quite large, with several 3 story buildings, no elevator, and lots of parking.  The rooms are huge with that cheap wood panelling and spindly legged furniture from a 1950's basement rec room.  Two double beds, complete with dust bunnys beneath, and a pullout make it an ideal location if you have a couple of rambunctious kids.  No possibility of them ever ruining anything here.  The bathrooms aren't great and because there's only a shower, there's no place to hang up hand washing.  (I saw wet socks hanging out of windows.) The restaurant has a large but monotenous buffet although you can walk to the nicer hotel on the grounds for a slightly better meal.","Date of stay: March 2011This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Mercure Hotel"
"Aardig start hotel, goed maar niet bijzonder.","Dit hotel is onderdeel van een pakket reis. Het hotel ligt wat buitenaf. Er is een zwembad. De kamers zijn groot en schoon.Niets op aan te merken. Het is allemaal wel erg gedateerd. Het ontbijt was erg druk Alles werd wel aangevuld. Diner buffet was oke, zoals er talloze zijn overal.","Date of stay: November 2019This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Mercure Hotel"
"Eerste kennismaking","Voor ons was dit de eerste kennismaking met Windhoek, Namibië, hotel Safari. Wij hadden twee kamers in het wat oudere vervallen gedeelte, niet echt het van je het kon er mee door. Ontbijt viel tegen. Voor een eerste avond na een lange vlucht een redelijke optie.","Date of stay: July 2019This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","2.0 of 5 bubbles","Mercure Hotel"
"Great choice!","Big clean and comfortable room. Beautiful view from floor 5. Scrumptious breakfast wide variety dishes to choose from. Frendly and helpfull staff. Spacious conference areas. Able to host more than one group or function separately.","Date of stay: October 2018This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Mercure Hotel"
"Ordentliches Hotel ","Das Zimmer mit Balkon war geräumig und wir hatten hier eine angenehme Nacht. Das Bad und speziell die große Dusche waren super. Das Personal war sehr freundlich und es wurde schnell und professionell eine Tisch Reservierung mit Transfer organisiert. Typisches Buffet Frühstück mit allem was man braucht. Nach einer zweiwöchigen Zeltsafari einfach purer Luxus.","Date of stay: September 2018This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Mercure Hotel"
"Good Hotel in Windhoek","This is a very good hotel in Windhoek.. outside the city centre, but with a shuttle bus to the city centre every hour, so it is good to reach. The breakfast is really good and the rooms are big, clean and just really good. Excellent to stay after a long flight.","Date of stay: June 2018This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Mercure Hotel"
"A box of cigaretts stolen from my room","comming to the hotel with a Group tourmy room is NOT ready and telling them ok I go to the pool area for a swim and lunchwhen I get back 3 hours later still is not my room ready but I had in the room my suitcasego down again ask firm but polite sorry what is going onI leave with my Group for dinner when I get back I feel hm I want to smoke a cigarett bought a whole box 200 dutyfree and the box i missing !!ever since the hotel told my guide they would leave me Money under my door no Moneyand still after 3 months and10 emails to Ina Spies the hotel manager still no sorry and still no money","Date of stay: October 2017This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","5.0 of 5 bubbles","Mercure Hotel"
"Tired hotel, poor food and uncomfortable beds","I would not recommend this hotel at all. Luckily only stayed one night, but it was very uncomfortable. The shower barely worked, drains were blocked and I struggled to get the warm tap even open. The hotel did not feel clean at all and the beds are rock hard. The staff is friendly and helpful, but the hotel will never see me again. We had dinner at the hotel and expected to have a great steak, but they managed to serve the worse fillet I have ever tasted. Stay clear of this hotel!","Date of stay: July 2017This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","1.0 of 5 bubbles","Mercure Hotel"
"Booking.com is totally misleading as to the location as per the attached.","We wanted to be near the airport to meet an early flight so we booked at the Safari Hotel which was “0.5km to Hosea International airport. In actual fact it was 46.2km away. The hotel itself is getting old and needs some maintenance. The room was clean and comfortable.","Date of stay: April 2017This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Mercure Hotel"
"Sans plus","L'hôtel est confortable mais dénué de charme, Chambre correcte mais salle de bain rudimentaire . Literie correcte . Petit déjeuner moyen . Valable pour une nuit de passage à votre arrivée à Windhoek .","Date of stay: June 2016This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Mercure Hotel"
"Angenehmes Hotel, schoenes Ambiente","Angenehmes Hotel mit guten funktionellen Features (Restaurants, Terrasse, Lobby, Bar, 24 h Rezeption, Concierge Service); dringend notwendige Zimmerrestauration findet gerade statt (Laermbelaestigung); trotzdem fuer kurze Aufenthalte zu empfehlen.","Date of stay: November 2016This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Mercure Hotel"
"Family Atmosphere","Although exclusive Safari provides a comfortable family experience. Beautiful rooms, great food, in close proximity to activities to do in and around Windhoek. Entertainment and immediate necessity are all accessible and available. You will have a blast and peaceful sleep.","Date of stay: May 2016This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Mercure Hotel"
"Mooi hotel","Het is een mooi hotel alleen zijn ze nu aan het verbouwen dus een beetje herrie. Het ontbijt is goed. De wifi moet je steeds nieuwe aanvragen dus dat is niet echt handig. Mooi groot zwembad. De kamers zijn prima.","Date of stay: July 2016This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Mercure Hotel"
"Entspricht den Sternen","Als Ausgangspunkt für eine Namibia-Rundreise und nach einer langen Flugnacht bot das einfache Zimmer im Safari Hotel die Kühle für eine erholsame Nacht. Die Ansprüche sind auch dann wohl nicht zu hoch.Das Frühstück war durchaus wohlschmeckend und reichlich, das Service-Personal freundlich und hilfsbereit.","Date of stay: February 2016This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Mercure Hotel"
"Der Fisch stinkt vom Kopf ","Unsäglich schlechtes Housekeeping: Die Zimmer sind schmutzig und sehr abgewohnt. Der Service ist unglaublich langsam. Es dauerte mehr als 4 Stunden, bis unsere Zimmer bereitet waren. Für das Wohlbefinden der Gäste interessiert sich niemand sonderlich. Es war unübersehbar: Das Management des Hotels ist völlig überfordert.","Date of stay: August 2015This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","2.0 of 5 bubbles","Mercure Hotel"
"Near Airport ","If you flying within Namibia then this hotel is good as it's a stone throws away from the domestic airport. I had no option but to get a room in the business section which was not up to spec looking at the rates per night. Overall not bad if you have a early domestic flight out.","Date of stay: July 2015This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Mercure Hotel"
"curtição em família!","Eu minha família ficamos hospedados em 2014 no safari e gostamos muito do hotel, além de ser bastante confortável e grande, tem duas piscina com bar, sala de musculação, saunas, restaurante com bom cardápio, bar funciona até altas horas com bom atendimento e condução grátis para você e sua família até o centro da cidade (ida e volta), enfim, recomendo pra quem quer aproveitar de um hotel confortável.","Date of stay: May 2014This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Mercure Hotel"
"hotel safari, het kan maar liever naar bijv. B&B the Olive grove","Aardig hotel om bijv. je campeer safari te starten. maar echt leuk verblijf je in bijv. the olive grove ook in Windhoek. dan komt het Afrika gevoel wel vanzelf ;-)Het zwembad help natuurlijk wel, de kamers zijn gedateerd en voldoen aan Afrikaanse standaard. verwacht er echter niet het ' safari' gevoel op te doen.. daarvoor ga je beter en goedkoper naar B&B in Windhoek zelf.","Date of stay: May 2014This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Mercure Hotel"
"Disappointing","Rooms were old and beds uncomfortable.Paving had been dug up due to some sort of water problem and it was difficult to get to the parking close to the rooms. Not enough parking for all the rooms, fortunately not all the rooms were occupied so I was able to utilize another rooms parking.The housekeeping staff are noisy and so are the guests at 4 a.m. when you are still trying to sleep.The main building housing the restaurant and lounge is nice enough.The breakfast was good.I will rather stay in a B&B when next in Windhoek.","Date of stay: March 2014This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","2.0 of 5 bubbles","Mercure Hotel"
"Mediocre, if not sub-par","Preface: This 3-star Safari Hotel is located adjacent to its more modern 4-star sister Safari Court as well as the Safari Conference Centre, all within a fenced compound. So bear in mind that this review is only meant for the 3-star motel and not the others. First Impressions: Having spent the better of two weeks camping, I was ready for any place that had concrete instead of dirt under my feet. Imagine my pleasant surprise upon entering the lobby of Hotel Safari. Marbled floors, elegant decor, rich fabric. Quite classy, I thought. And then, imagine my utter disappointment when we were told to personally carry our luggage 50 meters away to the group of rooms set up like a 1950's drive-in strip motel. Yeah, that feeling. Apparently, our tour operator booked us into the standard budget rooms for one night.Pros: For the business types, the conference centre is just next door. There is free airport shuttle, free WiFi, swimming pool, complimentary breakfast at its on-site restaurant and a souvenir shop. For extended internet use, one may ask to use the handful of computer terminals over at the Safari Court's business centre. Overall, service is friendly, courteous and helpful.Cons: Unfortunately, every positive feature of this motel has its letdowns. Location is not its best asset. It is quite far from the Windhoek city centre as well as the international airport. Although free shuttle is available, it is only to the nearby domestic airport and only until 6pm. Our rooms, though clean, appear dated and tired. The free WiFi is restricted to 2 hours and different passwords are handed out on slips of paper.  (I went around this restriction by collecting several access passwords until I had a bunch.) The pool can get quite cold!!! The souvenir shop is small and has limited inventory. The breakfast is forgettable. Verdict: This hotel has the potential to be a very nice one, if only management had bothered to upgrade, if not refurbish, it. I'm not a fussy traveller but, if you only use the hotel to sleep in, it does the job. Just lower your expectations. It is adequate for a few day's stay but, for longer stays, there are better accommodations closer to the city centre.","Date of stay: September 2012This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Mercure Hotel"
"Comodo","L'Hotel si trova fuori dal centro, vicino al vecchio aeroporto, è comodo da raggiungere e se si è sprovvisti d'auto, le navette dell'albergo portano praticamente ovunque. E' stato il nostro punto di partenza, l'unico albergo della nostra esperienza namibiana. Le stanze hanno arredi un pò datati, ma sono grandi, estremamente spaziose, pulite e comode quelle a pian terreno ""tipo motel"".Insomma niente di trascendentale, ma funzionale all'uso.","Date of stay: August 2011This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Mercure Hotel"
"Der absoulte Top Urlaub","Das Camp ist hervorragend, die achteckigen Zelte sind bestens ausgestattet. Hier gibt es einen fest gemauerten Waschtisch und gemauerte und getrennte DU und WC. Steckdosen, Schreibtisch, Moskitonetz, Terasse mit 2 Stühlen und Öllampe. Im Zelt gibt es eine Taschenlampe (da ab ca. 23. 00 Uhr-05. 00 Uhr kein Strom!) und eine Trillerpfeife für Notfälle. Außerdem gibt es einen Klingelknopf, damit man bei Dunkelheit und für Gepäckservice einen Massai rufen kann, dieser bringt die Gäste sicher zum Hauptgebäude. Das Camp ist unter deutscher Leitung, der Service ist super. Das Restaurant bot abends ein 4Gang Wahlmenue von sehr guter Qualität, das Frühstücksbuffet war umfangreich und ebenfalls sehr gut. Es gibt auch richtige Zimmer in Bungalows und neuerdings einen Pool mit Wellnessbereich. All dies ist direkt in der Wildnis (Steppe), ohne Zaun direkt neben den Warzenschweinen, Impalas und Erdhörnchen.","This review is the subjective opinion of an individual traveler and not of Tripadvisor LLC nor of its partners. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Mercure Hotel"
"Excellent Mid-Market Choice ~ Especially Business Rooms","The service at reception was smooth and efficient, if a little abrupt. The main Lobby was modern and smart, with seating both inside and outside reception and a small hotel gift shop.We booked a 'Business' room which was only marginally more expensive than the Standard room rate. It was situated on the first floor of a block adjoining (opposite) the main building that housed reception. The room was brand new, having only recently undergone complete refurbishment, was large and fitted to a high quality. Superb bathroom with all new fittings, shower and large accomodating bath. Tea & Coffee making facilities, Fridge/Mini-Bar, satellite TV, individually controlled Air- Conditioning (a little noisy).The hotel had three main restaurants and several bars. We ate in the main a la carte restaurant (which also offered a buffet choice) and although the service was a little slow, the staff were friendly, courteous and the food & wine was excellent ~ and reasonable, Namibian prices! The buffet breakfast also offered a wide range (our room rate was inclusive of breakfast). We stayed only one night for a post-Safari stop, before departing for the UK. We used the Swimming Pool and Beer Garden bar which were well organised. The main road passes the hotel quite near to the swimming pool, but road noise was never a problem.You can also use the facilities of the sister hotel ~ the Hotel Safari Court (4*) , which is within the same grounds ~ although we never had time to try these and the hotel also runs a free mini-bus service into the centre of Windhoek, approx. 8-10 mins away which was efficiently run. We could thoroughly recommend this excellent 3* property and would suggest the small extra for the refurbished 'Business' rooms is worth paying.","Date of stay: October 2006This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Mercure Hotel"
"OK if you want average","I guess this place is more geared for accommodating groups for conferences.  The conference venue is reasonable.  The accommodation facilities were reasonable, the same for catering.  Hotel staff was average, not falling over their feet to render good service.  For conferences,  business meetings,  business accommodation this is a reasonable venue.  Not sure that I will stay here as a tourist - will probably rather find a guest house or something else instead.","Date of stay: March 2012This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Mercure Hotel"
"Guter Service","Wir waren zu Beginn unserer Namibia Rundreise die erste Nacht im Safari und dann wieder am letzten Tag vor dem Rückflug noch eine Nacht. Der Empfang war herzlich, ein Willkommens Drink wurde serviert. Das WLan war kostenlos. Eine europäische Steckdose war im Zimmer vorhaben, so das kein Adapter notwendig war.Insgesamt ein gutes Hotel für den Einstieg in eine Rundreise.","Date of stay: May 2018This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Mercure Hotel"
"Mind-blowingly rubbish","Dirty, old and crumbling hotel. Pretty disgusting rooms and decor reminiscent of a 70's old peoples home. Rude staff that were generally very unhelpful - plenty of them walking around but none of them doing anything.. Oh no wait they're busy have a play fight with each other, so that's why there's no service. Ordering a sandwich took an hour and a half and when it eventually arrived may well have been made with last weeks leftovers.CONSTRUCTION work starts at 7.30am in the room above you which is very relaxing, especially if you enjoy hammer drills and angle grinders.The Internet.. The most infuriating internet connection you'll probably ever come across. Requires an id and password a thousand letters long and needs re-entering every time you go back to using your phone or laptop. Mind-blowingly fun. There's just no need for it to be like that which makes it all the more infuriating.Was very happy to leave!","Date of stay: May 2016This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","1.0 of 5 bubbles","Mercure Hotel"
"Comodo per l'aeroporto","E' un albergo gigantesco situato a circa 4 km dal mercato dell'artigianato africano. Non è brutto, ma molto datato e anche trasandato. Il wifi funziona bene nella sala comune, nella nostra camera andava e veniva.Sia la colazione sia la cena sono servite a buffet e di qualità media.","Date of stay: August 2019This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","3.0 of 5 bubbles","Mercure Hotel"
"BONNE SURPRISE APRES 24 HEURES DE VOYAGE","Hotel très propre, personnel agréable et souriant. Chambre très agréable et spacieuse. Salle de bain propre. Repas sous forme de buffet de bonne qualité avec du choix. Situé en sortie de ville. Hotel agréable","Date of stay: October 2017This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Mercure Hotel"
"bon hotel","hotel agreable , plutot de type motel avec des chambres spacieuses et tres bonne literie.salle de bain moyenne mais fonctionnelle.petit dejeuner buffet copieux.Un  peu loin du centre ville ( un taxi est indispensable pour rejoindre windhoek centre..entre 20 et 30 dollars Namibien par personne)..","Date of stay: April 2017This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.","4.0 of 5 bubbles","Mercure Hotel"
